"","PC1","PC2","PC3","pop"
"Ex11.3",-12.2472760979142,-4.64261589679583,-2.20678146858695,"JatunSacha"
"Ex11.4",-15.9722163928927,-6.38165157828989,-1.30185868753435,"JatunSacha"
"Ex12.1",-14.7808986926,-16.2229682335892,9.23401297368959,"JatunSacha"
"Ex12.7",-19.8953861770872,-20.4625765643171,11.6431084299341,"JatunSacha"
"Ex14.2",8.14799354445502,-6.29800167378951,-15.8615901071628,"JatunSacha"
"Ex14.4",7.58325933839038,-6.27306125830898,-15.133482730176,"JatunSacha"
"Ex01.3",0.691247906885924,-8.27090861448693,-6.87827465862065,"JatunSacha"
"Ex02.3",-3.57500696221115,-13.5702785861016,-5.5906602128238,"JatunSacha"
"Ex05.5",0.56769827447243,-7.4869662377817,-12.9002864973008,"JatunSacha"
"Ex06A.5",-15.694263662269,-25.9848851414468,14.481209458232,"JatunSacha"
"Ex06B.1",-9.60595305110359,-22.4799142806821,8.99899817033418,"JatunSacha"
"Ex06B.6",-13.6138670893697,-23.699768659537,11.0090751138079,"JatunSacha"
"Ex02.6",-6.88343242262458,-15.9318905030186,-0.772129324800489,"JatunSacha"
"Ex02.8",-1.82865286169725,-11.5108214118662,-8.05772019256265,"JatunSacha"
"Ex05.3",3.21566373808094,-6.69201425572276,-14.1149130801842,"JatunSacha"
"Ex05.6",2.60286515306047,-6.4217824542886,-14.7854434292041,"JatunSacha"
"Ex06A.6",-13.3282874076837,-25.3388995506275,10.9341649373203,"JatunSacha"
"Ex06B.3",-16.3804089842922,-25.0897484969135,12.9865031782746,"JatunSacha"
"Ex06B.5",-13.1223230617694,-26.5944199026994,13.0748493924806,"JatunSacha"
"Ex06B.8",-12.3819168861012,-24.7126623715084,10.9968652393924,"JatunSacha"
"Ex12.5",-36.1202814166522,-27.573618701367,24.391504316578,"JatunSacha"
"Ex05.1",1.01597601515593,-5.25140805915687,-13.1940416334051,"JatunSacha"
"Ex06A.3",-15.5987443284064,-27.4844132018411,15.076951060723,"JatunSacha"
"Ex07.1",7.40820852021478,-4.74472698405416,-15.4944503062881,"JatunSacha"
"Ex07.3",8.57875262756502,-6.15778692456903,-18.5441961611132,"JatunSacha"
"Ex08.1",4.20818359563491,-3.70188386321041,-13.8312969270967,"JatunSacha"
"Ex08.3",4.4320291687858,-3.54961942206494,-11.4546500255696,"JatunSacha"
"Ex06A.1",-13.85792458005,-20.0572428811559,11.5471929970208,"JatunSacha"
"Ex06B.4",-14.7509548746476,-25.0324540896775,12.8125828925495,"JatunSacha"
"Ex06B.7",-14.7591768549183,-25.5622622614896,13.6362055327584,"JatunSacha"
"Ex07.5",6.64576294928095,-4.31487859245891,-13.8421671932747,"JatunSacha"
"Ex08.7",4.71162003298709,-4.82480970972859,-17.7244808225019,"JatunSacha"
"Ex08.8",4.85850865816955,-4.36112551799913,-17.4577251845224,"JatunSacha"
"Ex12.3",-11.9606568657999,-13.4580520558802,6.16705847442322,"JatunSacha"
"Ex12.6",-28.6331303975329,-21.1009627864957,20.0127365591627,"JatunSacha"
"Ex06B.2",-11.4669006393027,-23.804786565001,11.2894391418835,"JatunSacha"
"Ex07.2",7.61193161651109,-4.99683756202691,-16.2261782132134,"JatunSacha"
"Ex08.6",5.68315443145905,-5.63820450112986,-16.6378672009406,"JatunSacha"
"Ex02.2",-6.49504044761059,-13.9463521407879,-4.30968021233489,"JatunSacha"
"Ex02.4",-6.40852255619688,-14.7532534278236,-3.28838922731615,"JatunSacha"
"Ex07.4",8.23624416057834,-6.53589166364561,-17.7617578425744,"JatunSacha"
"Ex07.6",5.61846090972558,-4.06254108979995,-12.537806599893,"JatunSacha"
"Ex07.8",8.22022912667955,-5.94187736123618,-17.6267876940034,"JatunSacha"
"Ex08.2",5.56965802845903,-4.13516129273511,-16.5199243562006,"JatunSacha"
"Ex10.2",6.48488979051492,-4.48619524998309,-12.5083569727892,"JatunSacha"
"Ex10.5",4.68445157150506,-2.73440592623262,-9.46391500242015,"JatunSacha"
"Ex11.1",-12.5377091503769,-6.7393776302928,-1.23055072417655,"JatunSacha"
"Ex14.5",6.97176469426086,-5.17158644457331,-13.6575954821637,"JatunSacha"
"Ex02.14",-5.93161260421497,-13.7548826607088,-1.79202005085374,"JatunSacha"
"Ex02.1",-4.17574641303854,-10.5735654487362,-4.59814473076892,"JatunSacha"
"Ex19.4",7.03962629087308,-5.45942409937513,-13.3442427502194,"JatunSacha"
"Ex12.14",-11.4472262457225,-13.3890542415126,8.03406235859039,"JatunSacha"
"Exi_VL_47.3.1.05",8.86761306806684,6.79520598884293,4.68513814817801,"ViaLoreto"
"Exi_VL_41.2.01",16.9617387007291,12.227359449309,9.65238744977701,"ViaLoreto"
"Exi_VL_41.2.02",15.738829181393,12.1737054833308,10.5269460678437,"ViaLoreto"
"Exi_VL_41.2.03",17.6312484707409,13.0095644393366,11.4282829307145,"ViaLoreto"
"Exi_VL_41.2.04",16.8969413117684,12.1523685657654,10.7827321372019,"ViaLoreto"
"Exi_VL_17.5.01",17.4510946787279,13.104870654633,11.4917725397589,"ViaLoreto"
"Exi_VL_17.5.03",16.3593765032728,10.4794534111709,8.40747417683439,"ViaLoreto"
"Exi_VL_17.5.05",17.444852503147,12.2294029749292,9.45287135758972,"ViaLoreto"
"Exi_VL_17.5.06",17.7146092076761,12.0676739687029,9.17023937120856,"ViaLoreto"
"Exi_VL_Bridge.1.01",16.1644269277036,11.2178139298912,8.49950437273006,"ViaLoreto"
"Exi_VL_Bridge.1.03",18.9126345061955,13.2009017057446,12.1252033938147,"ViaLoreto"
"Exi_VL_Bridge.1.04",18.8741808241157,13.4791830020871,12.255545793281,"ViaLoreto"
"Exi_VL_24.1.01",18.7847231157641,13.4670867178345,12.3693481414461,"ViaLoreto"
"Exi_VL_24.1.02",13.7075512037347,10.0592508072901,7.61650841129797,"ViaLoreto"
"Exi_VL_24.1.03",15.2789295186382,11.3635910128273,8.61931610458248,"ViaLoreto"
"Exi_VL_24.1.04",18.7621044514444,13.3702059335759,12.0150675255984,"ViaLoreto"
"Exi_VL_24.1.05",18.3899581228255,13.2684612829904,11.9750548826328,"ViaLoreto"
"Exi_VL_24.1.06",17.7924190184453,12.7592634780597,10.7619771436545,"ViaLoreto"
"Exi_VL_9.5.1.01",17.7914674438181,12.3828837531816,10.7293704890621,"ViaLoreto"
"Exi_VL_9.5.1.02",17.8628700052805,12.6468478702087,10.7882576190887,"ViaLoreto"
"Exi_VL_9.5.1.03",17.5048014515027,12.3564098421184,9.83031115006936,"ViaLoreto"
"Exi_VL_Bridge.1.06",15.0578783046864,10.4585242290775,7.65659286423751,"ViaLoreto"
"Exi_VL_Bridge.1.07",16.5943769726693,11.5153873605599,8.64650094008904,"ViaLoreto"
"Exi_VL_10.5.08",15.5406962174702,11.1786769164838,9.22310918249848,"ViaLoreto"
"Exi_VL_9.5.1.05",16.8531138891905,12.6554585966024,10.526969935977,"ViaLoreto"
"Exi_VL_29.0.1.07",17.8427465764212,13.072757766124,10.9736322466733,"ViaLoreto"
"Exi_VL_29.0.1.08",10.6806747830777,7.41109850726024,6.5385302885453,"ViaLoreto"
"Exi_VL_29.0.1.09",11.5729178843274,8.3545350813049,7.07277511488217,"ViaLoreto"
"Exi_VL_29.0.2.07",15.4556153758503,11.2879894764511,9.35290242093077,"ViaLoreto"
"Exi_VL_29.0.2.08",15.1803036989363,9.87494107620438,7.64843116218565,"ViaLoreto"
"Exi_VL_Bridge.1.05",15.5199678386514,10.7971321775371,10.0890654154258,"ViaLoreto"
"Exi_VL_10.5.04",12.2551391528227,7.42782091002625,5.99454708870771,"ViaLoreto"
"Exi_VL_10.5.05",11.5813433622808,6.99784502390698,5.83847278489261,"ViaLoreto"
"Exi_VL_10.5.06",15.274271675313,9.90502239310124,7.47333350347669,"ViaLoreto"
"Exi_VL_10.5.07",14.1197779975304,8.91587268383072,6.91047025204498,"ViaLoreto"
"Exi_VL_9.5.01",13.8263065904636,10.0385669878966,8.20370809509162,"ViaLoreto"
"Exi_Archi_11.8.1.01",-48.816007345426,28.9828003757272,-3.75248064376359,"ViaLoreto"
"Exi_Archi_11.8.1.02",-31.980925509805,20.1262304842856,-2.7188220135692,"ViaLoreto"
"Exi_Archi_11.8.1.04",-51.1955275463677,30.1395872287904,-4.05939840252534,"Archidona"
"Exi_Archi_11.8.1.05",-47.8314755767331,28.1648849212904,-3.90792220449245,"Archidona"
"Exi_Archi_11.8.3.02",11.1225262031457,-0.793213757940291,-14.9781895358074,"Archidona"
"Exi_Archi_11.8.3.05",7.50094477740483,-0.514324222426997,-10.3933793663353,"Archidona"
"Exi_Archi_11.8.5.01",10.6868568909616,-1.10855124284369,-15.1044008586909,"Archidona"
"Exi_Archi_11.8.5.02",9.27493234653286,-1.26307399947913,-12.9208438175747,"Archidona"
"Exi_Archi_11.8.5.03",7.98080896376588,-0.927782667191257,-10.6895856160665,"Archidona"
"Exi_Archi_11.8.5.04",10.4971149891171,-1.54277747170282,-15.0247879509945,"Archidona"
"Exi_Archi_11.8.1.06",-45.3556905738161,26.6106933871899,-4.24871071993249,"Archidona"
"Exi_Archi_11.8.1.07",-53.8508940228391,31.2914542259877,-4.03906472271901,"Archidona"
"Exi_Archi_11.8.1.08",-55.3854580682818,31.6066925958017,-4.06519444415038,"Archidona"
"Exi_Archi_11.8.1.09",-55.827836676681,31.8112824806803,-3.98789670954955,"Archidona"
"Exi_Archi_11.8.1.10",-55.0328661829891,31.7010313460414,-4.43135274440062,"Archidona"
"Exi_Archi_11.8.2.01",9.00417537272864,-3.04649454565928,-13.2315219798749,"Archidona"
"Exi_Archi_11.8.2.02",9.24430331114793,-2.62467586057997,-11.7839053889159,"Archidona"
"Exi_Archi_11.8.2.03",8.91379631103733,-2.5919533661781,-11.5025374033852,"Archidona"
"Exi_Archi_11.8.4.05",10.6378630559013,-1.10360594512772,-14.9985915724142,"Archidona"
"Exi_Archi_11.8.5.05",10.8311957268944,-1.25685939634061,-15.1709189314193,"Archidona"
