"name","filename.1","filename.2"
"Ex12.N1.1","Ex12.N1.1.1.fq.gz","Ex12.N1.1.2.fq.gz"
"Ex12.N1.3","Ex12.N1.3.1.fq.gz","Ex12.N1.3.2.fq.gz"
"Ex12.N1.2","Ex12.N1.2.1.fq.gz","Ex12.N1.2.2.fq.gz"
"Ex06B.N1.1","Ex06B.N1.1.1.fq.gz","Ex06B.N1.1.2.fq.gz"
"Ex06B.N1.2","Ex06B.N1.2.1.fq.gz","Ex06B.N1.2.2.fq.gz"
"Ex17.N1.1","Ex17.N1.1.1.fq.gz","Ex17.N1.1.2.fq.gz"
"Ex08.N1.2","Ex08.N1.2.1.fq.gz","Ex08.N1.2.2.fq.gz"
"Ex08.N1.3","Ex08.N1.3.1.fq.gz","Ex08.N1.3.2.fq.gz"
"Ex08.N1.5","Ex08.N1.5.1.fq.gz","Ex08.N1.5.2.fq.gz"
"Exi_VL_9.5.2.N1.01","Exi_VL_9.5.2.N1.01.1.fq.gz","Exi_VL_9.5.2.N1.01.2.fq.gz"
"Exi_VL_9.5.2.N1.02","Exi_VL_9.5.2.N1.02.1.fq.gz","Exi_VL_9.5.2.N1.02.2.fq.gz"
"Exi_VL_9.5.2.N1.03","Exi_VL_9.5.2.N1.03.1.fq.gz","Exi_VL_9.5.2.N1.03.2.fq.gz"
"Exi_VL_9.5.2.N1.04","Exi_VL_9.5.2.N1.04.1.fq.gz","Exi_VL_9.5.2.N1.04.2.fq.gz"
"Exi_Archi_11.8.3.N1.01","Exi_Archi_11.8.3.N1.01.1.fq.gz","Exi_Archi_11.8.3.N1.01.2.fq.gz"
"Exi_Archi_11.8.3.N1.03","Exi_Archi_11.8.3.N1.03.1.fq.gz","Exi_Archi_11.8.3.N1.03.2.fq.gz"
"Exi_Archi_11.8.3.N1.04","Exi_Archi_11.8.3.N1.04.1.fq.gz","Exi_Archi_11.8.3.N1.04.2.fq.gz"
"Exi_Archi_11.8.5.N1.02","Exi_Archi_11.8.5.N1.02.1.fq.gz","Exi_Archi_11.8.5.N1.02.2.fq.gz"
"Exi_Archi_11.8.1.N1.01","Exi_Archi_11.8.1.N1.01.1.fq.gz","Exi_Archi_11.8.1.N1.01.2.fq.gz"
"Exi_VL_24.1.N1.01","Exi_VL_24.1.N1.01.1.fq.gz","Exi_VL_24.1.N1.01.2.fq.gz"
